PCAT;PCAT_CL;PCAT_EE;PCAST;PCAST_CL;PCAST_EE;PANG;PANG_CO;PANG_CE;PANG_EE;PCAT_CO;PCAST_CO;GENERE;MES_NAIXEMENT;ANY_NAIXEMENT;AREA_TERRITORIAL;NATURALESA;HÀBITAT
97,73;95,45;100;89,57;86,36;94,44;88,75;85,71;87,5;100;100;88,89;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
77,3;81,82;61,11;80,71;88,64;61,11;50,83;35,71;66,67;33,33;100;100;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
;;;44,34;40,91;44,44;27,08;28,57;29,17;16,67;;55,56;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
65,2;68,18;55,56;58,76;63,64;38,89;52,5;57,14;50;50;77,78;88,89;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,51;90,91;94,44;93,84;95,45;88,89;92,92;85,71;95,83;100;100;100;D;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,15;88,64;50;75,91;81,82;66,67;74,58;71,43;79,17;66,67;88,89;77,78;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
76,77;84,09;61,11;80,68;86,36;83,33;75,83;64,29;91,67;50;88,89;55,56;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,91;81,82;66,67;31,14;27,27;16,67;41,25;50;37,5;33,33;77,78;77,78;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
85,03;77,27;94,44;83,13;81,82;77,78;91,25;100;87,5;83,33;88,89;100;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
29,8;31,82;11,11;52,83;54,55;44,44;43,33;50;41,67;33,33;66,67;66,67;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,34;90,91;77,78;86,01;90,91;77,78;72,08;57,14;79,17;83,33;77,78;88,89;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,17;100;83,33;93,84;95,45;88,89;92,5;92,86;100;66,67;100;100;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,45;90,91;100;91,89;95,45;83,33;100;100;100;100;100;100;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,21;84,09;83,33;80,18;90,91;61,11;82,08;85,71;79,17;83,33;100;88,89;H;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
74,47;77,27;83,33;68,81;68,18;61,11;65,83;57,14;66,67;83,33;44,44;88,89;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
77,63;86,36;55,56;73,96;81,82;61,11;70,83;71,43;66,67;83,33;100;77,78;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
46,01;40,91;44,44;44,34;40,91;44,44;19,17;35,71;8,33;16,67;66,67;55,56;H;2;2008;Consorci d'Educació de Barcelona;Pública;Més de 100000
47,68;40,91;44,44;47,22;50;44,44;32,08;50;4,17;83,33;77,78;44,44;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
89,95;95,45;77,78;86,01;90,91;77,78;93,75;100;87,5;100;100;88,89;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
30,15;13,64;33,33;47,35;36,36;50;79,58;78,57;79,17;83,33;77,78;77,78;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,89;95,45;83,33;92,17;95,45;88,89;91,25;92,86;87,5;100;100;88,89;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
92,5;100;83,33;77,9;86,36;61,11;75,83;78,57;66,67;100;88,89;88,89;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
57,17;45,45;55,56;44,44;50;22,22;37,92;50;20,83;66,67;100;77,78;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
76,97;77,27;66,67;79,8;81,82;77,78;90,83;92,86;91,67;83,33;100;77,78;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,63;81,82;61,11;48,86;47,73;33,33;50,42;42,86;45,83;83,33;88,89;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
68,48;63,64;66,67;47,35;36,36;50;52,92;50;45,83;83,33;88,89;77,78;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,17;100;83,33;82,45;95,45;61,11;100;100;100;100;100;88,89;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,48;88,64;83,33;76,24;86,36;61,11;97,5;92,86;100;100;100;77,78;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,01;95,45;72,22;80,45;90,91;66,67;91,25;92,86;87,5;100;100;77,78;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,91;81,82;66,67;;;;77,5;85,71;75;66,67;77,78;;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,06;95,45;100;79,85;86,36;66,67;100;100;100;100;88,89;88,89;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
69,29;61,36;72,22;60,66;59,09;55,56;83,33;78,57;91,67;66,67;88,89;77,78;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
66,89;70,45;66,67;75,58;77,27;72,22;55,83;42,86;66,67;50;55,56;77,78;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,35;86,36;83,33;83,41;81,82;83,33;81,25;71,43;87,5;83,33;100;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,23;90,91;88,89;73,03;72,73;66,67;87,08;100;79,17;83,33;77,78;88,89;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,07;90,91;72,22;86,29;90,91;83,33;88,75;100;87,5;66,67;88,89;77,78;D;2;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
86,01;90,91;77,78;66,09;72,73;61,11;83,33;64,29;91,67;100;88,89;55,56;D;3;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
69,42;72,73;61,11;69,04;63,64;77,78;65,42;64,29;70,83;50;77,78;66,67;H;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
85,73;90,91;72,22;93,51;90,91;94,44;76,25;64,29;87,5;66,67;100;100;D;1;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
70,33;79,55;44,44;76,59;68,18;83,33;40;57,14;25;50;100;88,89;H;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
48,38;54,55;22,22;64,92;68,18;50;53,33;57,14;41,67;83,33;88,89;88,89;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
84,27;84,09;77,78;95,78;95,45;94,44;86,25;85,71;87,5;83,33;100;100;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
81,19;81,82;72,22;71,04;68,18;72,22;55;64,29;50;50;100;77,78;D;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
83,79;90,91;66,67;65,53;72,73;50;65,83;50;66,67;100;100;77,78;D;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
82,8;77,27;83,33;56,34;45,45;72,22;59,17;71,43;58,33;33,33;100;55,56;D;10;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
89,62;90,91;83,33;76,59;68,18;83,33;43,75;42,86;37,5;66,67;100;88,89;D;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
75,35;81,82;55,56;73,31;72,73;72,22;60;42,86;75;50;100;77,78;D;4;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
83,46;86,36;72,22;85,3;77,27;100;60;57,14;50;100;100;77,78;H;7;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
86,34;95,45;72,22;93,84;95,45;88,89;83,33;85,71;91,67;50;88,89;100;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
75,03;77,27;61,11;72,1;63,64;72,22;50,83;57,14;41,67;66,67;100;100;D;1;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
67,47;72,73;55,56;73,31;72,73;72,22;60,42;57,14;70,83;33,33;77,78;77,78;H;5;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
87,02;81,82;88,89;85,96;86,36;88,89;63,33;57,14;66,67;66,67;100;77,78;D;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
83,13;81,82;77,78;84,02;86,36;83,33;79,17;78,57;83,33;66,67;100;77,78;H;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
75,35;81,82;55,56;81,46;81,82;77,78;92,5;85,71;100;83,33;100;88,89;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
91,24;86,36;94,44;79,8;81,82;77,78;84,17;78,57;83,33;100;100;77,78;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
72,25;77,27;72,22;;;;58,75;78,57;37,5;83,33;55,56;;H;2;2008;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,84;90,91;94,44;91,57;90,91;88,89;77,08;64,29;79,17;100;88,89;100;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
70,35;81,82;55,56;71,31;68,18;77,78;75;71,43;75;83,33;66,67;66,67;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
70,43;63,64;72,22;66,06;70,45;50;51,67;35,71;58,33;66,67;88,89;88,89;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,99;79,55;77,78;85,68;86,36;83,33;59,58;57,14;54,17;83,33;100;88,89;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
69,7;72,73;66,67;82,8;77,27;83,33;50,83;42,86;41,67;100;66,67;100;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
76,64;72,73;72,22;;;;73,33;71,43;66,67;100;100;;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
89,24;81,82;100;75,3;77,27;66,67;95;85,71;100;100;88,89;88,89;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
64,77;54,55;83,33;65,43;63,64;72,22;54,58;42,86;54,17;83,33;55,56;55,56;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,04;68,18;72,22;77,2;72,73;83,33;45,83;28,57;41,67;100;77,78;77,78;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
28,43;9,09;44,44;23,54;18,18;22,22;35;42,86;25;50;55,56;44,44;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
66,54;63,64;61,11;73,36;77,27;61,11;74,58;71,43;79,17;66,67;88,89;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
83,74;86,36;77,78;76,19;81,82;72,22;67,5;50;75;83,33;88,89;66,67;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
;;;40,48;18,18;61,11;;;;;;66,67;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
79,07;90,91;72,22;73,36;77,27;61,11;92,92;85,71;95,83;100;55,56;88,89;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
72,37;63,64;77,78;64,27;59,09;61,11;50,83;42,86;41,67;100;88,89;88,89;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,45;90,91;100;91,84;90,91;94,44;97,5;92,86;100;100;100;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
97,73;95,45;100;87,63;86,36;88,89;97,92;100;95,83;100;100;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,52;86,36;66,67;65,81;72,73;55,56;70;78,57;75;33,33;100;66,67;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
53,84;45,45;55,56;;;;45;50;50;16,67;77,78;;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
78,51;90,91;61,11;79,24;81,82;66,67;80,42;78,57;95,83;33,33;77,78;100;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
66,26;63,64;55,56;60,1;59,09;44,44;68,33;71,43;66,67;66,67;100;100;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,79;86,36;72,22;72,58;81,82;66,67;74,17;64,29;83,33;66,67;88,89;55,56;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,12;95,45;94,44;94,12;95,45;94,44;87,92;85,71;95,83;66,67;88,89;88,89;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
85,08;81,82;83,33;81,14;77,27;83,33;72,92;78,57;70,83;66,67;100;88,89;H;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
65,86;77,27;44,44;62,07;61,36;61,11;47,08;50;54,17;16,67;77,78;66,67;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,51;70,45;72,22;74,97;72,73;72,22;93,75;100;87,5;100;100;88,89;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
78,18;86,36;66,67;81,46;81,82;77,78;93,75;100;87,5;100;77,78;88,89;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
66,74;56,82;66,67;;;;51,67;50;58,33;33,33;100;;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
45,61;54,55;33,33;59,92;68,18;50;56,25;50;62,5;50;44,44;55,56;D;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
78,76;88,64;55,56;74,97;72,73;72,22;65;50;75;66,67;100;88,89;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
50,48;68,18;27,78;56,39;50;61,11;49,58;42,86;54,17;50;44,44;66,67;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,61;100;72,22;95,78;95,45;94,44;100;100;100;100;88,89;100;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
52,85;56,82;55,56;60,93;59,09;61,11;44,58;57,14;29,17;66,67;33,33;66,67;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
69,47;77,27;50;80,13;86,36;72,22;71,67;71,43;83,33;33,33;88,89;77,78;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
59,55;59,09;66,67;62,55;54,55;72,22;70,42;78,57;70,83;50;44,44;66,67;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
90,28;100;72,22;89,9;90,91;88,89;95;85,71;100;100;100;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
51,44;54,55;50;53,81;68,18;27,78;47,92;64,29;45,83;16,67;44,44;66,67;D;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
82,45;95,45;61,11;81,79;86,36;72,22;77,5;71,43;100;16,67;88,89;88,89;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
100;100;100;93,51;90,91;94,44;87,5;78,57;100;66,67;100;100;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,01;90,91;77,78;77,9;86,36;61,11;78,75;71,43;87,5;66,67;88,89;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,16;79,55;94,44;85,08;81,82;83,33;83,75;78,57;87,5;83,33;88,89;100;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
83,46;86,36;72,22;73,54;68,18;88,89;84,17;78,57;83,33;100;100;55,56;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
64,19;77,27;44,44;66,49;59,09;72,22;46,67;42,86;58,33;16,67;66,67;77,78;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
50,45;65,91;16,67;47,55;54,55;38,89;32,5;35,71;25;50;77,78;44,44;H;4;2008;Consorci d'Educació de Barcelona;Pública;Més de 100000
62,32;59,09;55,56;39,17;50;16,67;52,08;42,86;54,17;66,67;88,89;55,56;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,86;77,27;77,78;72,7;68,18;72,22;66,67;71,43;58,33;83,33;66,67;88,89;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
54,65;43,18;61,11;53,79;40,91;66,67;55,42;50;45,83;100;77,78;66,67;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,78;95,45;94,44;;;;82,08;78,57;79,17;100;100;;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
98,06;100;94,44;93,18;86,36;100;100;100;100;100;100;100;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
80;75;83,33;79,52;81,82;72,22;65,83;64,29;66,67;66,67;88,89;88,89;H;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
74,29;86,36;55,56;70,76;68,18;66,67;33,33;28,57;41,67;16,67;77,78;88,89;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,81;93,18;77,78;90,23;95,45;83,33;84,17;85,71;83,33;83,33;100;88,89;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
22,8;27,27;16,67;33,96;31,82;27,78;22,08;21,43;29,17;0;22,22;55,56;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,06;95,45;100;86,29;90,91;83,33;95,42;92,86;95,83;100;88,89;77,78;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
77,3;81,82;61,11;76,79;86,36;72,22;70;64,29;75;66,67;100;55,56;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
53,51;40,91;61,11;68,43;59,09;77,78;31,25;21,43;37,5;33,33;77,78;77,78;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
83,69;81,82;88,89;67,05;59,09;83,33;50,83;57,14;41,67;66,67;77,78;55,56;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,14;77,27;83,33;71,64;72,73;72,22;61,25;78,57;62,5;16,67;88,89;66,67;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
67,37;63,64;77,78;58,71;59,09;50;62,08;64,29;54,17;83,33;55,56;77,78;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,09;72,73;61,11;70,43;63,64;72,22;84,17;78,57;83,33;100;88,89;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
70,15;63,64;66,67;76,64;72,73;72,22;83,75;78,57;87,5;83,33;100;100;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,45;90,91;100;92,17;95,45;88,89;100;100;100;100;100;88,89;D;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
80,61;79,55;83,33;74,29;86,36;55,56;77,08;64,29;79,17;100;77,78;77,78;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,17;100;83,33;87,35;86,36;83,33;85,83;85,71;91,67;66,67;100;100;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,14;77,27;83,33;79,8;81,82;77,78;87,92;78,57;95,83;83,33;88,89;77,78;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
67,35;61,36;66,67;72,42;68,18;66,67;64,17;78,57;58,33;50;88,89;100;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,54;88,64;77,78;79,57;86,36;61,11;82,08;85,71;79,17;83,33;100;100;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
98,06;100;94,44;85,35;81,82;88,89;88,75;92,86;87,5;83,33;100;88,89;D;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
63,54;68,18;55,56;67,75;72,73;61,11;57,5;71,43;50;50;66,67;66,67;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,78;95,45;94,44;78,91;77,27;72,22;100;100;100;100;100;100;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
72,63;86,36;55,56;64,24;81,82;33,33;61,67;71,43;58,33;50;66,67;77,78;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
89,09;93,18;83,33;78,18;86,36;66,67;37,5;35,71;25;83,33;88,89;77,78;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
98,06;100;94,44;88,23;90,91;88,89;90,83;85,71;91,67;100;100;77,78;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,59;93,18;100;86,01;90,91;77,78;92,92;85,71;95,83;100;100;88,89;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
41,77;34,09;61,11;45,08;31,82;50;64,17;64,29;58,33;83,33;22,22;77,78;D;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,84;95,45;88,89;85,4;86,36;77,78;92,5;92,86;100;66,67;100;100;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,95;90,91;83,33;89,57;86,36;94,44;95,83;100;91,67;100;88,89;88,89;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,34;90,91;77,78;91,24;86,36;94,44;83,75;85,71;87,5;66,67;77,78;100;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
80,35;81,82;88,89;86,29;90,91;83,33;95;100;100;66,67;55,56;77,78;D;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
70,13;86,36;38,89;67,47;72,73;55,56;35,42;21,43;45,83;33,33;88,89;77,78;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
98,06;100;94,44;92,17;95,45;88,89;100;100;100;100;100;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,68;90,91;77,78;81,19;81,82;72,22;97,92;100;95,83;100;100;100;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,01;90,91;77,78;78,79;90,91;66,67;95,42;92,86;95,83;100;88,89;66,67;D;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,84;95,45;88,89;91,52;86,36;100;97,92;100;95,83;100;100;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
70,88;79,55;55,56;69,75;77,27;55,56;52,92;64,29;45,83;50;77,78;77,78;H;12;2008;Consorci d'Educació de Barcelona;Pública;Més de 100000
60,63;81,82;27,78;54,04;63,64;44,44;79,58;78,57;79,17;83,33;66,67;44,44;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,51;90,91;94,44;95,45;90,91;100;97,92;100;95,83;100;100;100;D;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,12;95,45;94,44;87,9;86,36;94,44;100;100;100;100;88,89;77,78;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,01;90,91;77,78;74,97;72,73;72,22;74,17;57,14;83,33;83,33;88,89;88,89;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
55,2;43,18;72,22;48,28;45,45;44,44;52,92;50;45,83;83,33;55,56;66,67;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
98,06;100;94,44;89,95;95,45;77,78;97,92;100;95,83;100;100;100;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
69,09;68,18;66,67;62,27;54,55;66,67;52,08;35,71;54,17;83,33;77,78;77,78;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
89,62;90,91;83,33;85,35;81,82;88,89;95,83;100;91,67;100;100;88,89;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,79;86,36;72,22;75,03;77,27;61,11;72,5;64,29;75;83,33;88,89;100;D;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
76,01;90,91;44,44;64,24;81,82;33,33;61,25;28,57;87,5;50;100;77,78;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
80,4;86,36;77,78;68,54;68,18;55,56;60,42;42,86;70,83;66,67;66,67;100;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,03;77,27;61,11;67,42;68,18;66,67;84,17;92,86;83,33;66,67;100;66,67;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
56,39;50;61,11;60,91;56,82;50;48,75;57,14;37,5;66,67;66,67;100;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
68,28;70,45;61,11;55,38;59,09;50;80,42;100;70,83;66,67;77,78;55,56;D;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
90,28;100;72,22;80,73;90,91;72,22;90,83;85,71;91,67;100;100;66,67;D;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
83,74;86,36;77,78;63,26;68,18;50;80,42;85,71;70,83;100;88,89;77,78;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,52;61,36;83,33;63,16;59,09;72,22;78,33;85,71;66,67;100;77,78;55,56;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
57,78;50;55,56;53,21;63,64;27,78;60,83;85,71;41,67;66,67;88,89;77,78;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,06;95,45;66,67;83,79;90,91;66,67;80,83;85,71;91,67;33,33;100;100;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
70,3;77,27;66,67;60;50;66,67;63,75;57,14;62,5;83,33;55,56;77,78;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
65,2;68,18;55,56;67,75;72,73;61,11;63,75;78,57;62,5;33,33;77,78;66,67;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
69,7;72,73;66,67;71,97;77,27;66,67;53,75;78,57;37,5;50;66,67;66,67;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,11;100;88,89;74,7;72,73;66,67;95,42;92,86;95,83;100;100;100;H;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
59,65;68,18;44,44;41,34;45,45;38,89;45,42;50;45,83;33,33;66,67;33,33;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
52,17;45,45;55,56;57,8;52,27;66,67;45;35,71;50;50;66,67;55,56;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,41;77,27;55,56;61,26;63,64;55,56;62,5;92,86;50;33,33;88,89;66,67;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
60,4;61,36;61,11;77,85;81,82;72,22;67,5;57,14;75;66,67;55,56;77,78;H;11;2008;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,62;95,45;77,78;74,9;90,91;55,56;92,5;85,71;100;83,33;77,78;66,67;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
92,98;93,18;94,44;80,81;72,73;88,89;92,92;100;95,83;66,67;88,89;88,89;H;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
51,89;45,45;50;58,38;54,55;55,56;52,5;64,29;50;33,33;77,78;77,78;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,09;72,73;61,11;71,09;72,73;61,11;68,33;71,43;66,67;66,67;88,89;88,89;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
66,01;65,91;61,11;75,3;77,27;66,67;80,42;71,43;95,83;50;77,78;88,89;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
44,52;31,82;38,89;47,25;52,27;55,56;27,5;28,57;25;33,33;100;11,11;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,16;84,09;88,89;91,84;90,91;94,44;84,17;100;83,33;50;100;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,64;97,73;88,89;88,01;95,45;72,22;100;100;100;100;77,78;100;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
67,15;68,18;61,11;73,03;72,73;66,67;47,92;64,29;45,83;16,67;77,78;88,89;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
64,92;68,18;50;64,82;59,09;72,22;60;42,86;75;50;88,89;66,67;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
